Nom de la campagne,Nom du groupe de campagnes,État de la campagne,Coût,Coût (Comparaison),Conversions,Conversions (Comparaison),CPC moy.,CPC moy. (Comparaison)
Globale-réseau,,Activé,"11 925,86 €","0,00 €","89,72","0,00","1,70 €","0,00 €"
Réseau_Rock_autour31,,Mis en veille,"3 634,70 €","6 409,56 €","37,00","26,00","0,96 €","1,77 €"
AbriVoiture-Performance-2025-Alexia,,Activé,"3 021,31 €","0,00 €","77,11","0,00","0,24 €","0,00 €"
C6_Lagache,,Mis en veille,"2 869,32 €","6 127,76 €","13,50","37,00","1,01 €","2,11 €"
C5_Richaud,,Mis en veille,"2 867,39 €","6 330,90 €","13,50","41,00","1,21 €","1,88 €"
C2_Richaud,,Mis en veille,"2 603,70 €","0,00 €","9,77","0,00","1,07 €","0,00 €"
C1_Boyer,,Mis en veille,"2 568,48 €","6 382,04 €","11,17","58,00","0,99 €","1,65 €"
C7_Sueur,,Mis en veille,"2 537,63 €","3 288,60 €","10,33","25,50","1,04 €","1,26 €"
C10_Georges,,Mis en veille,"2 534,55 €","3 330,49 €","19,00","24,83","0,88 €","1,10 €"
C9_Pelerin_PMax,,Mis en veille,"1 633,12 €","0,00 €","15,00","0,00","0,71 €","0,00 €"
C9_Pelerin,,Mis en veille,"1 180,20 €","3 297,08 €","9,00","30,67","1,44 €","1,12 €"
Globale-réseau  Essai 672,,Activé,"926,83 €","0,00 €","5,50","0,00","1,91 €","0,00 €"
FOCUS C6,,Mis en veille,"768,89 €","0,00 €","8,00","0,00","1,44 €","0,00 €"
Test - C7 Sueur,,Mis en veille,"302,94 €","0,00 €","0,00","0,00","0,52 €","0,00 €"
Pergola-Performance-2025-Alexia,,Activé,"94,89 €","0,00 €","1,00","0,00","0,50 €","0,00 €"
Pub Vidéo C7 Youtube,,Mis en veille,"28,29 €","0,00 €","0,00","0,00","0,06 €","0,00 €"
C2_Gagliardi,,Mis en veille,"0,00 €","3 538,63 €","0,00","27,00","0,00 €","1,19 €"
C8_Chambonnet,,Mis en veille,"0,00 €","3 213,47 €","0,00","30,00","0,00 €","1,34 €"
Test Chambonnet C8,,Activé,"0,00 €","0,00 €","0,00","0,00","0,00 €","0,00 €"
C4_Beaud,,Mis en veille,"0,00 €","359,64 €","0,00","1,00","0,00 €","0,57 €"
C6_Lagache  Essai 378,,Activé,"0,00 €","0,00 €","0,00","0,00","0,00 €","0,00 €"
C7_Sueur  Essai 225,,Activé,"0,00 €","0,00 €","0,00","0,00","0,00 €","0,00 €"
C2_Gagliardi  Essai 470,,Activé,"0,00 €","0,00 €","0,00","0,00","0,00 €","0,00 €"
C1_Boyer  Essai 69,,Activé,"0,00 €","0,00 €","0,00","0,00","0,00 €","0,00 €"
C5_Richaud  Essai 911,,Activé,"0,00 €","0,00 €","0,00","0,00","0,00 €","0,00 €"
C9_Pelerin  Essai 466,,Activé,"0,00 €","0,00 €","0,00","0,00","0,00 €","0,00 €"
C10_Georges  Essai 612,,Activé,"0,00 €","0,00 €","0,00","0,00","0,00 €","0,00 €"
C8_Chambonnet  Essai 819,,Activé,"0,00 €","0,00 €","0,00","0,00","0,00 €","0,00 €"
Campagne-pro-PMax,,Mis en veille,"0,00 €","5 591,90 €","0,00","173,00","0,00 €","0,72 €"
Réseau_Rock_33,,Mis en veille,"0,00 €","1 631,34 €","0,00","5,00","0,00 €","1,57 €"
Campagne-C2-PMax,,Mis en veille,"0,00 €","733,65 €","0,00","1 319,00","0,00 €","0,13 €"
C2_Gagliardi #2,,Mis en veille,"0,00 €","2 600,63 €","0,00","11,00","0,00 €","2,10 €"
Réseau_Rock_autour31 #2,,Mis en veille,"0,00 €","329,84 €","0,00","1,00","0,00 €","1,34 €"
