Nom du groupe d'annonces,Nom de la campagne,Coût,Coût (Comparaison),Clics,Clics (Comparaison),Interactions,Interactions (Comparaison)
Abri voiture,Globale-réseau,"7 116,38 €","0,00 €",3 851,0,3 851,0
,Campagne-pro-PMax,"0,00 €","5 591,90 €",0,7 819,0,12 451
Pergola,Globale-réseau,"3 229,09 €","0,00 €",1 769,0,1 769,0
,AbriVoiture-Performance-2025-Alexia,"3 021,31 €","0,00 €",12 523,0,14 521,0
C5_General,C5_Richaud,"0,00 €","1 864,98 €",0,995,0,995
Réseau_Abri_voiture,Réseau_Rock_autour31,"1 252,06 €","3 082,71 €",1 495,1 774,1 495,1 774
,C9_Pelerin_PMax,"1 633,12 €","0,00 €",2 315,0,4 244,0
C6_Abris_voiture,C6_Lagache,"461,04 €","2 084,84 €",426,1 038,426,1 038
C1_Abris_voiture,C1_Boyer,"520,29 €","2 129,90 €",582,1 375,582,1 375
C2_Pergola,C2_Gagliardi,"0,00 €","1 516,59 €",0,831,0,831
C6_General,C6_Lagache,"236,18 €","1 590,60 €",217,664,217,664
C1_Pergola,C1_Boyer,"942,81 €","2 274,76 €",1 060,1 234,1 060,1 234
C7_Page_Concessionnaire,C7_Sueur,"0,00 €","1 300,59 €",0,905,0,905
C2_Abris_voiture,C2_Richaud,"1 279,04 €","0,00 €",1 295,0,1 295,0
C2_Abris_voiture,C2_Gagliardi,"0,00 €","1 123,85 €",0,825,0,825
C8_Pergola,C8_Chambonnet,"0,00 €","1 031,11 €",0,670,0,670
Réseau_Pergola,Réseau_Rock_autour31,"831,21 €","1 765,35 €",810,927,810,927
C8_Abris_voiture,C8_Chambonnet,"0,00 €","933,63 €",0,699,0,699
C2_Abris_voiture,C2_Gagliardi #2,"0,00 €","906,27 €",0,431,0,431
Appentis & Auvent,Globale-réseau,"875,55 €","0,00 €",607,0,607,0
C9_Pergola,C9_Pelerin,"290,79 €","1 135,51 €",216,765,216,765
C5_Page_Concessionnaire,C5_Richaud,"540,82 €","1 364,58 €",405,661,405,661
Réseau_Abri_voiture,Réseau_Rock_33,"0,00 €","796,26 €",0,527,0,527
C9_Page_Concessionnaire,C9_Pelerin,"0,00 €","791,11 €",0,603,0,603
,Campagne-C2-PMax,"0,00 €","733,65 €",0,5 723,0,30 203
Pool house,Globale-réseau,"704,84 €","0,00 €",783,0,783,0
C5_Abris_voiture,C5_Richaud,"761,47 €","1 404,13 €",676,853,676,853
Réseau_Pergola,Réseau_Rock_33,"0,00 €","580,86 €",0,341,0,341
C2_Pergola,C2_Gagliardi #2,"0,00 €","577,70 €",0,249,0,249
C7_General,C7_Sueur,"884,05 €","319,64 €",801,250,801,250
C10_General,C10_Georges,"0,00 €","519,79 €",0,394,0,394
C2_Pergola,C2_Richaud,"489,45 €","0,00 €",410,0,410,0
C2_Offre_Promo,C2_Gagliardi #2,"0,00 €","446,52 €",0,237,0,237
C2_General,C2_Richaud,"444,92 €","0,00 €",389,0,389,0
C8_General,C8_Chambonnet,"0,00 €","441,08 €",0,301,0,301
Abri voiture,Globale-réseau  Essai 672,"435,92 €","0,00 €",224,0,224,0
C10_Pergola,C10_Georges,"611,27 €","1 034,56 €",785,702,785,702
C6_Abri camping-car,C6_Lagache,"190,45 €","588,51 €",191,389,191,389
Réseaux de recherche,FOCUS C6,"391,47 €","0,00 €",327,0,327,0
Dynamique,FOCUS C6,"377,42 €","0,00 €",207,0,207,0
C2_General,C2_Gagliardi #2,"0,00 €","373,28 €",0,179,0,179
C8 - Groupe d'annonces dynamiques,C8_Chambonnet,"0,00 €","360,41 €",0,195,0,195
,C4_Beaud,"0,00 €","359,64 €",0,632,0,632
